,CustomerID,Age,Gender,State,DeviceType,PaymentMethod,ProductCategory,TotalSpent(NGN),NumOrders,AvgOrderValue(NGN),DaysSinceLastOrder,NumComplaints,DiscountsUsed,SatisfactionScore,DeliveryDays,NumReturns,LoyaltyYears,Churned,SatisfactionIndex,LoyaltyIndex
0,CUS00001,56,Male,Borno,Mobile,Debit card,Fashion,43334.95,7,6190.71,16,0,2,5.0,6,0,2.1,No,0.833,10.5
1,CUS00002,46,Female,Bauchi,Mobile,Debit card,Auto,79885.0,5,15977.0,47,0,2,3.6,2,1,1.7,No,1.8,6.12
2,CUS00003,32,Male,Lagos,Mobile,Bank transfer,Food,78535.32,11,7139.57,86,0,1,3.6,5,0,3.7,Yes,0.72,13.32
3,CUS00004,60,Female,Rivers,Desktop,Bank transfer,Fashion,77571.37,6,12928.56,58,1,4,3.5,7,1,4.0,No,0.438,14.0
4,CUS00005,25,Female,Kano,Phone,Bank transfer,Food,86429.18,15,5761.95,45,0,1,5.0,3,1,0.0,No,1.667,0.0
5,CUS00006,38,Male,Abuja,Mobile,Bank transfer,Electronics,88405.31,15,5893.69,40,0,4,3.1,5,1,2.7,No,0.62,8.37
6,CUS00007,56,Female,Anambra,Mobile,Cash,Beauty,65546.72,3,21848.91,54,2,3,3.5,3,0,0.0,No,0.7,0.0
7,CUS00008,36,Male,Enugu,Tablet,Debit card,Beauty,142272.16,8,17784.02,67,2,2,5.0,5,1,4.6,Yes,0.714,23.0
8,CUS00009,40,Male,Bauchi,Desktop,Bank transfer,Electronics,32373.37,4,8093.34,63,0,1,3.6,1,1,2.7,No,3.6,9.72
9,CUS00010,28,Female,Abuja,Mobile,Debit card,Food,52556.35,6,8759.39,35,0,0,4.6,1,1,0.8,No,4.6,3.68
10,CUS00011,28,Male,Rivers,Mobile,Bank transfer,Fashion,210098.36,18,11672.13,54,0,1,2.6,3,2,1.6,Yes,0.867,4.16
11,CUS00012,41,Male,Kaduna,Mobile,Bank transfer,Beauty,38290.39,6,6381.73,59,2,2,3.3,2,1,1.6,Yes,0.825,5.28
12,CUS00013,53,Female,Imo,Mobile,Bank transfer,Beauty,24081.04,9,2675.67,14,0,0,5.0,2,1,2.1,No,2.5,10.5
13,CUS00014,57,Male,Kano,Mobile,Debit card,Electronics,118051.45,10,11805.14,50,0,2,2.8,3,0,3.6,No,0.933,10.08
14,CUS00015,89,Male,Anambra,Mobile,USSD,Books,500.0,2,250.0,1,0,4,3.3,5,1,0.3,No,0.66,0.99
15,CUS00016,20,Male,Kano,Mobile,Bank transfer,Home,74412.67,21,3543.46,59,0,4,3.8,3,1,4.8,No,1.267,18.24
16,CUS00017,39,Male,Borno,Mobile,USSD,Food,181562.12,1,181562.12,64,1,2,2.5,2,0,4.4,No,0.833,11.0
17,CUS00018,19,Male,Abuja,Tablet,Bank transfer,Electronics,15477.88,3,5159.29,67,0,3,3.1,3,1,0.7,No,1.033,2.17
18,CUS00019,41,Male,Kano,Mobile,Debit card,Books,500.0,1,500.0,33,2,1,3.6,2,0,2.1,No,0.9,7.56
19,CUS00020,61,Male,Imo,Tablet,Bank transfer,Food,17536.85,10,1753.68,54,0,3,3.5,2,1,4.6,No,1.75,16.1
20,CUS00021,47,Female,Kaduna,Desktop,Bank transfer,Fashion,125426.18,18,6968.12,87,0,6,4.8,1,1,3.8,Yes,4.8,18.24
21,CUS00022,55,Female,Abuja,Mobile,POS,Fashion,135614.95,8,16951.87,87,0,4,5.0,4,1,1.5,No,1.25,7.5
22,CUS00023,19,Female,Anambra,Mobile,Debit card,Fashion,61933.5,1,61933.5,44,0,4,2.6,2,1,3.2,Yes,1.3,8.32
23,CUS00024,38,Male,Lagos,Desktop,Bank transfer,Beauty,115744.56,4,28936.14,49,0,2,3.6,5,0,6.5,No,0.72,23.4
24,CUS00025,50,Female,Enugu,Tablet,USSD,Fashion,147561.49,5,29512.3,78,0,4,4.2,1,0,2.2,No,4.2,9.24
25,CUS00026,29,Female,Abuja,Desktop,Debit card,Food,165430.59,2,82715.3,1,3,0,5.0,2,1,1.1,No,1.0,5.5
26,CUS00027,39,Female,Delta,Mobile,Cash,Home,73914.91,12,6159.58,35,1,2,4.2,7,3,2.3,Yes,0.525,9.66
27,CUS00028,61,Male,Borno,Desktop,Bank transfer,Beauty,500.0,12,41.67,85,0,4,3.8,2,0,2.4,No,1.9,9.12
28,CUS00029,42,Male,Kaduna,Tablet,POS,Food,48060.45,2,24030.22,74,0,4,4.2,4,1,1.2,No,1.05,5.04
29,CUS00030,44,Female,Borno,Phone,Debit card,Food,65793.81,11,5981.26,56,1,4,4.2,1,0,2.7,No,2.1,11.34
30,CUS00031,59,Female,Abuja,Desktop,Debit card,Beauty,73347.75,15,4889.85,1,2,3,5.0,1,0,0.1,No,1.667,0.5
31,CUS00032,45,Female,Abuja,Mobile,USSD,Electronics,76546.33,17,4502.73,43,1,2,3.7,7,0,1.0,No,0.462,3.7
32,CUS00033,33,Female,Delta,Mobile,Cash,Electronics,135350.26,21,6445.25,27,2,4,5.0,4,0,3.1,No,0.833,15.5
33,CUS00034,32,Female,Anambra,Laptop,Debit card,Electronics,142349.28,3,47449.76,54,1,1,3.3,4,2,0.0,Yes,0.66,0.0
34,CUS00035,64,Male,Borno,Phone,Bank transfer,Electronics,77274.69,21,3679.75,20,3,1,3.6,1,0,3.4,Yes,0.9,12.24
35,CUS00036,61,Male,Abuja,Desktop,Debit card,Home,134431.82,6,22405.3,14,0,3,3.3,4,0,0.0,No,0.825,0.0
36,CUS00037,20,Male,Enugu,Mobile,Bank transfer,Fashion,101094.76,5,20218.95,1,2,3,1.2,6,0,0.0,Yes,0.15,0.0
37,CUS00038,54,Female,Kano,Tablet,Bank transfer,Fashion,87902.77,9,9766.97,81,2,0,3.5,6,0,1.3,Yes,0.438,4.55
38,CUS00039,24,Male,Anambra,Desktop,Cash,Food,125794.49,5,25158.9,33,0,3,3.8,6,2,2.4,No,0.633,9.12
39,CUS00040,38,Female,Enugu,Tablet,USSD,Beauty,88251.34,9,9805.7,49,0,4,3.0,1,1,4.0,No,3.0,12.0
40,CUS00041,26,Female,Anambra,Tablet,Debit card,Electronics,177601.5,21,8457.21,44,0,2,2.3,4,0,2.1,No,0.575,4.83
41,CUS00042,56,Female,Enugu,Mobile,Debit card,Food,20271.5,6,3378.58,12,0,7,2.6,5,0,1.6,No,0.52,4.16
42,CUS00043,35,Female,Imo,Desktop,Bank transfer,Home,61817.31,14,4415.52,7,0,1,5.0,1,0,2.9,No,5.0,14.5
43,CUS00044,21,Female,Kaduna,Phone,Bank transfer,Electronics,79306.65,7,11329.52,14,1,2,5.0,1,0,0.7,No,2.5,3.5
44,CUS00045,42,Female,Enugu,Desktop,Bank transfer,Home,104775.37,8,13096.92,23,2,2,4.9,5,1,2.2,No,0.7,10.78
45,CUS00046,31,Male,Oyo,Desktop,Debit card,Food,142058.22,10,14205.82,55,2,2,2.2,5,2,0.2,Yes,0.314,0.44
46,CUS00047,26,Male,Enugu,Tablet,Debit card,Food,83902.06,13,6454.0,21,0,2,4.4,1,0,2.1,No,4.4,9.24
47,CUS00048,43,Female,Lagos,Tablet,Debit card,Electronics,20999.67,1,20999.67,97,0,0,2.8,5,0,1.8,No,0.56,5.04
48,CUS00049,19,Female,Lagos,Mobile,Debit card,Fashion,122913.13,10,12291.31,75,2,1,2.9,4,0,0.8,Yes,0.483,2.32
49,CUS00050,37,Male,Bauchi,Mobile,Debit card,Books,118973.14,6,19828.86,69,1,2,3.0,5,1,2.2,Yes,0.5,6.6
50,CUS00051,45,Male,Oyo,Laptop,Debit card,Food,500.0,8,62.5,41,1,5,4.2,2,1,2.2,No,1.4,9.24
