CustomerID,Age,Gender,State,DeviceType,PaymentMethod,ProductCategory,TotalSpent(NGN),NumOrders,AvgOrderValue(NGN),DaysSinceLastOrder,NumComplaints,DiscountsUsed,SatisfactionScore,DeliveryDays,NumReturns,LoyaltyYears,Churned
CUS00001,56.0,MALE,Borno,Mobile,Debit Card,Fashion,43334.95,7,6190.71,16,0,2,5.0,6,0,2.1,No
CUS00002,46.0,F,Bauchi,MOBILE,card,Auto,79885.0,5,15977.0,47,0,2,3.6,2,1,1.7 yrs,N
CUS00003,32.0 years,male,Lagos,Mobile,Transfer,food,-78535.32,11,7139.57,86,0,1,3.6,5,0,3.7,True
CUS00004,60.0,female,Rivers,Desktop,transfer,Fashion,77571.37,6,12928.56,58,1,4,3.5,7,1,4.0,N
CUS00005,-25.0,F,Kano,Phone,transfer,Food,86429.18,15,5761.95,45,0,1,5.0,3,1,0.0,False
CUS00006,38.0,M,Abuja,Mobile,transfer,Electronics,88405.31,15,5893.69,40,0,4,3.1,5,1,2.7,no
CUS00007,56.0,FEMALE,Anambra,Mobile,Cash,Beauty,65546.72,3,21848.91,54,2,3,3.5,3,0,0.0,N
CUS00008,36.0,M,Enugu,Tablet,card,Beauty,142272.16,8,17784.02,67,2,2,5.0,5,1,4.6,yes
CUS00009,40.0,M,Bauchi,Desktop,Transfer,Electronics,32373.37,4,8093.34,63,0,1,3.6,1,1,2.7,NO
CUS00010,28.0,f,Abuja,mobile,card,Food,52556.35,6,8759.39,35,0,0,4.6,1,1,0.8,no
CUS00011,28.0,Male,Rivers,MOBILE,Transfer,Fashion,210098.36,18,11672.13,54,0,1,2.6,3,2,1.6,1
CUS00012,41.0,Male,Kaduna,Mobile,Bank Transfer,Beauty,38290.39,6,6381.73,59,2,2,3.3,2,1,1.6,1
CUS00013,53.0 years,Female,Imo,mobile,Transfer,Beauty,24081.04,9,2675.67,14,0,0,5.0,2,1,,0
CUS00014,57.0,m,Kano,mobile,Card,Electronics,118051.45,10,11805.14,50,0,2,2.8,3,0,3.6,0
CUS00015,410.0,Male,Anambra,Mobile,USSD,Books,₦500.0,2,250.0,1,0,4,3.3,5,1,0.3,NO
CUS00016,20.0,Male,Kano,mobile,transfer,Home,74412.67,300,24804.22,59,0,4,3.8,3 days,1,4.8,no
CUS00017,39.0,Male,Borno,Mobile,USSD,Food,181562.12,1,181562.12,64,1,2,2.5,2 days,0,4.4,no
CUS00018,19.0,Male,Abuja,Tablet,Transfer,Electronics,15477.88,3,5159.29,67,0,3,3.1,3,1,0.7,no
